Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - IT,₹4L - ₹6L (Glassdoor Est.),"Job Location Mumbai

Job Description

About the Role:
Are you inspired by invention?
Is problem solving through teamwork in your DNA?
Do you like the idea of seeing how your work impacts the bigger picture?
Do you have passion to transform P&G while enabling better decision-making through advanced analytics and machine learning?
Do you enjoy enhancing business results and improving consumer's lives every single day?
If yes, Join P&G: we offer you a career in Information Technology, starting as Data Scientist in Mumbai.
We are a smart team of doers that work passionately to apply cutting edge advances in Data science and software to solve real-world challenges that will transform our customers’ and consumer’s experiences in ways we can’t even imagine yet. We invent new improvements every day.


Get hands-on into the details on Data Science, using state-of-the-art artificial intelligence, big data platforms and data visualization to discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your models into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.
You will analyze and model on big datasets – translating trillion’s daily consumer touchpoints and billions of consumers' behaviors to actionable recommendations
Active Collaboration across Business Teams.
Thinking Big and generating ideas with the Data Science team and stakeholders
Working with customers and cross-functional stakeholder teams to identify, disambiguate, and define problems
Scoping long-term solutions as a series of smaller, more manageable iterations.
Creating data science architectures and building scalable solutions.
Running simulations, measuring performance, building ML models, and designing optimization algorithms
Supporting existing models, while thinking about next generation solutions


Information Technology (IT) uses information and business knowledge to craft innovative solutions that change the way P&G runs business. IT in P&G is now assimilated into each and every business process, creating significant value through Digital Disruptions and Transformations. The broader IT team is sub-divided into Sales IT, Plant IT, Consumer IT, Data Science and Analytics, Data Engineering and Business Analytics, ensuring Data Driven Decision Making embeds across Sales, Marketing and Product Supply Functions. A career in IT with us will build your ownership and influencing skills and will provide you a breadth of experiences across multiple businesses, and depth of expertise.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.


We are a PVP (Purpose, Value and Principles) driven company, and Doing The Right Thing is at the heart of all our Business Actions.

Job Qualifications


2+ years of experience using scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R, SAS, Matlab, etc.)
You have a deep understanding of Statistics and Machine Learning, Optimization, and other advanced analytical models – and how to apply to real world problems
You have a master’s degree or PhD in a quantitative / computational field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, Data Science, Life-science, Physics etc.)
You are proud to write solid code. Python and Spark are favorites, not your top ones? We can teach you.
You have familiarity with beating data into submission with pandas, SQL, or Spark.
You have strong communication skills and prefer to chart your own course to get the job done.
You know how to tell a story with data.
You are curious and effective. (Sense a theme? The ability to recognize patterns is important).
You are a Prioritize, there are only so many hours in a day and your friends and family deserve some of it.
You value simplicity and understand that good enough is not a cop out.
You are creative and find that unique viewpoint to solve problems that make others run and cower.
You are collaborative in practicing Data Science as a team sport. We love to brainstorm together!
You are fluent in English (written and oral)


Spark, MapReduce, SQL, Hive
Microsoft Azure, Google Cloud Platform
Experience with Agile DevOps, Github, Jira, Confluence
Basic understanding of Business Intelligence Tools such as PowerBI, Spotfire, Tableau, etc. and/or UI frameworks (Flask, VueJS) to impress your business sponsors

Job Schedule Full time

Job Number R000068809

Job Segmentation Experienced Professionals (Job Segmentation)",4.2,"Procter & Gamble
4.2",Mumbai,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Description

JOB DESCRIPTION

Skill: Data Scientist

Role: T3

Key responsibility:
Bachelors or Masters Engineering in Computer Science preferred though not mandatory, or related quantitative field experience with analyzing and quantifying data collected through crowd sourcing protocols
Strong experience with descriptive statistics and visualization tools
Solid experience with Natural Language Processing
Expert in Python command line usage Bash Solid experience with SQL
Knowledge of statistical modelling machine learning techniques Deep Learning Good to have
Experience with data selection methods identify how to choose which data for which experimental set ups
Excellent communication and organizational skills with significant attention to detailExperience with big data tools Hive Pig and familiarity experience with AWS technology stack S3Redshift Good to have
Demonstrable track record dealing well with ambiguity prioritizing needs and delivering results in an agiledynamic environment
NLP Text Extraction from various sources MS Wordplain text filespdf fileshtml pages, etc. Text CleaningText PreProcessing Tokenization POS tagging NER, Dependency Parsing Coreference Resolution, Feature Vector Generation binarycounttfidf etc word2vecdoc2vecglove RAKE, document similarity Cosine, Jaccardetc fuzzy text matching Lexical and Semantic Information Extraction
Techniques text clustering kmeans, DBSACNetc text classification Nve Bayes MAXENTSVM Tree Based models other ML & Deep Learning model

About Virtusa

Teamwork, quality of life, professional and personal development: values that Virtusa is proud to embody. When you join us, you join a team of 30,000+ people globally that cares about your growth - one that seeks to provide you with exciting projects, opportunities and work with state of the art technologies throughout your career with us.

it all comes together at Virtusa. We value collaboration and the team environment of our company, and seek to provide great minds with a dynamic place to nurture new ideas and foster excellence.

Virtusa was founded on principles of equal opportunity for all, and so does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.

Primary Location
: IN-MH-Pune
Schedule
: Full Time
Job Type
: Experienced
Travel
: No
Job Posting
: 03/12/2022, 6:28:46 AM",3.8,"Virtusa
3.8",Pune,10000+ Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business",3.4,"Kmart
3.4",Bangalore,10000+ Employees,1899,Subsidiary or Business Segment,General Merchandise & Superstores,Retail & Wholesale,$5 to $10 billion (USD)
Data Scientist Internship,₹4L - ₹6L (Glassdoor Est.),"100% placement assistance
live classes no recorded classes
online and offline classes are provided
classes on your flexible time
Job Type: Internship
Salary: From ₹5,000.00 per month
Schedule:
Day shift",-1,Orion Club,Cochin,1 to 50 Employees,1899,Company - Private,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"It's fun to work in a company where people truly BELIEVE in what they are doing!
We're committed to bringing passion and customer focus to the business.
3-10 years in core Data Science & Machine Learning projects
Expert level proficiency in at least one of R and Python.
Ability to create efficient solutions to complex problems. Strong skills in data-structures and ML algorithms.
Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring and maintenance.
Problem-solving: Ability to break the problem into small parts and applying relevant techniques to drive required outcomes.",4.0,"Fractal Analytics
4.0",Bangalore,1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Aufgaben
Qualification – B.E / Master of Engineering

Education – Computer Science

Experience – 8 – 14 years



A Data Scientist is responsible for using data to identify trends and patterns to build data models and generate insights that help organizations make better decisions. They must be able to interpret and analyze large datasets, develop predictive models, and effectively communicate their findings to various stakeholders. Data Scientists must have strong technical and analytical skills, including familiarity with programming languages such as Python and R, as well as data mining and visualization tools. They must also possess domain knowledge in the industry in which they are working, and be able to effectively collaborate with other stakeholders such as software engineers, product owners, and business analysts. Responsibilities include:",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
Junior Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Exp: 1+ years
Location: Gurgaon/Remote
Skill-sets:Data Scientist | ML Techniques & Libraries | SQL | Pytest | Python
Job Description:
Minimum 6 months of experience in the field of Data Science
Experienced with multiple ML techniques such as deep neural networks, transformers and recommend-er models, as well as python ML libraries such as TensorFlow, PyTorch and sklearn
Equipped with programming skills to self-sufficiently manipulate, analyse, synthesise, and visualize data in e.g. matplotlib, plotly, bokeh, pandas",4.5,"Think Future Technologies
4.5",Gurgaon,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data scientist,₹4L - ₹6L (Glassdoor Est.),"Greetings of the day!
Package: 4LPA - 11LPA
The great opportunity for reason graduate with 100% placement opportunity specifically in all the IT Field.
The course duration is 6 months....
You will be given high level knowledge and with paid intership....
This is the right time join the course and success in life with great package
Job Types: Full-time, Fresher",-1,Vingsfire pvt ltd,Hyderābād,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the accuracy and customer satisfaction for our customers. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Roles and responsibilities:
Identify valuable data sources and automate conversational AI platform.
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",5.0,"CoRover
5.0",Remote,1 to 50 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Looking for:
Quick Learners
Prior knowledge of ReactJS is a must
Comfortable with ""Build fast and iterate""
Project members at Sugarfit don’t own code. They own features and technologies. This requires understanding of product and business requirements and owning end to end execution of app features
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production",-1,Bipin Jha Consultancy,Bangalore,1 to 50 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
